detector,omitted_source,CDU_without_source,method
FITS,Power,-0.00040296168073636595,reaggregate existing OOF losses; no probe refitting
FITS,SED,-0.0004831980800263273,reaggregate existing OOF losses; no probe refitting
FITS,SMAP,-0.000432058975810643,reaggregate existing OOF losses; no probe refitting
FITS,SMD,-0.00041442868381323406,reaggregate existing OOF losses; no probe refitting
FITS,SVDB,-0.0004201072563513214,reaggregate existing OOF losses; no probe refitting
FITS,SWaT,0.000439684566055684,reaggregate existing OOF losses; no probe refitting
FITS,Stock,-0.00032588860875329943,reaggregate existing OOF losses; no probe refitting
FITS,TAO,-0.0002838514077556864,reaggregate existing OOF losses; no probe refitting
FITS,TODS,-0.0004469334298912265,reaggregate existing OOF losses; no probe refitting
FITS,UCR,-0.00040211440698360146,reaggregate existing OOF losses; no probe refitting
FITS,WSD,-0.0004259531205753881,reaggregate existing OOF losses; no probe refitting
FITS,YAHOO,-0.00038007787430736087,reaggregate existing OOF losses; no probe refitting
AnomalyTransformer,CATSv2,0.0004370373116191618,reaggregate existing OOF losses; no probe refitting
AnomalyTransformer,Daphnet,0.0004729697929442254,reaggregate existing OOF losses; no probe refitting
AnomalyTransformer,Exathlon,0.0002762289122129734,reaggregate existing OOF losses; no probe refitting
AnomalyTransformer,IOPS,0.0004982564874264167,reaggregate existing OOF losses; no probe refitting
AnomalyTransformer,LTDB,0.0004950693186697397,reaggregate existing OOF losses; no probe refitting
AnomalyTransformer,MGAB,0.0004855248112320329,reaggregate existing OOF losses; no probe refitting
AnomalyTransformer,MITDB,0.000669684828863219,reaggregate existing OOF losses; no probe refitting
AnomalyTransformer,MSL,0.00047797883994545455,reaggregate existing OOF losses; no probe refitting
AnomalyTransformer,NAB,0.0005267543130889074,reaggregate existing OOF losses; no probe refitting
AnomalyTransformer,NEK,0.0005336459535015737,reaggregate existing OOF losses; no probe refitting
AnomalyTransformer,OPPORTUNITY,0.0005995985490332173,reaggregate existing OOF losses; no probe refitting
AnomalyTransformer,Power,0.0004101911651204165,reaggregate existing OOF losses; no probe refitting
AnomalyTransformer,SED,0.00027841367928282094,reaggregate existing OOF losses; no probe refitting
AnomalyTransformer,SMAP,0.00044108453607588746,reaggregate existing OOF losses; no probe refitting
AnomalyTransformer,SMD,0.0004123233430080555,reaggregate existing OOF losses; no probe refitting
AnomalyTransformer,SVDB,0.0005153897438446534,reaggregate existing OOF losses; no probe refitting
AnomalyTransformer,SWaT,4.962110638206188e-05,reaggregate existing OOF losses; no probe refitting
AnomalyTransformer,Stock,0.0005634357654537204,reaggregate existing OOF losses; no probe refitting
AnomalyTransformer,TAO,0.0005699735628288437,reaggregate existing OOF losses; no probe refitting
AnomalyTransformer,TODS,0.0005751371332480669,reaggregate existing OOF losses; no probe refitting
AnomalyTransformer,UCR,0.0005120786290037106,reaggregate existing OOF losses; no probe refitting
AnomalyTransformer,WSD,0.0004732458383618946,reaggregate existing OOF losses; no probe refitting
AnomalyTransformer,YAHOO,0.0005032939360844073,reaggregate existing OOF losses; no probe refitting
