source_dataset,L_null,L_basis,L_detector,L_basis_detector,basis_utility,detector_utility,CDU,Raw_VUS,detector
Stock,0.417131156077293,0.3639863006648232,0.31814946408058786,0.3139862863320959,0.053144855412469785,0.09898169199670506,0.0500000143327272,0.9970674731193263,M2N2
TAO,0.5535625392673225,0.5136042109103988,0.4217754834409216,0.4491692648875734,0.0399583283569237,0.1317870558264008,0.0644349460228253,0.9998237724280018,M2N2
TODS,0.34089188089259115,0.3494683816078803,0.35805064677771836,0.36498567650178193,-0.008576500715289138,-0.017158765885127193,-0.015517294893901655,0.475176092151783,M2N2
UCR,0.11965481163837996,0.12118827879405407,0.12236795928986646,0.1246556202653518,-0.0015334671556741313,-0.0027131476514865105,-0.0034673414712977422,0.02748920125593752,M2N2
WSD,0.11652476930139795,0.11569967076211748,0.1155079605206664,0.11460783691019964,0.00082509853928046,0.0010168087807315151,0.0010918338519178062,0.1296319827517832,M2N2
YAHOO,0.1357516306585992,0.13053893441590425,0.12784470244183746,0.12473615577270888,0.005212696242694886,0.00790692821676173,0.00580277864319534,0.42332996034636555,M2N2
CATSv2,0.2858020924202719,0.297887201276486,0.2868947933366372,0.299896265203617,-0.0120851088562141,-0.0010927009163653,-0.002009063927131,0.0722943656500574,TranAD
Daphnet,0.3254223915528967,0.2368700903937531,0.3424702937187551,0.2513946539049289,0.0885523011591436,-0.0170479021658584,-0.0145245635111757,0.1960418063726212,TranAD
Exathlon,0.5235995378389589,0.43366213844939877,0.48772496032925106,0.4038139355387188,0.08993739938956005,0.03587457750970775,0.02984820291067991,0.6425437972277975,TranAD
IOPS,0.15479102249458004,0.14680233978912313,0.1498732373372877,0.14341677883372095,0.007988682705456907,0.004917785157292294,0.0033855609554021,0.20386058968120271,TranAD
LTDB,0.8720556920927158,0.8277857431274924,0.8748148230336338,0.8355264573821215,0.04426994896522349,-0.0027591309409178253,-0.007740714254629137,0.3206176506309696,TranAD
MGAB,0.10379637692907713,0.09814965849320105,0.10417044438345706,0.10024087622397948,0.005646718435876013,-0.0003740674543799375,-0.002091217730778425,0.004872079820168887,TranAD
MITDB,0.2799692305476572,0.28074051205083167,0.28045307237331324,0.2864523475744862,-0.0007712815031744574,-0.0004838418256560446,-0.0057118355236545,0.09021595788460543,TranAD
MSL,0.35306260934966177,0.32341904528105864,0.3443652670363483,0.3184864124360932,0.02964356406860314,0.008697342313313471,0.004932632844965386,0.2561423903568973,TranAD
NAB,0.5109301265016868,0.49567876044141895,0.5129916942478212,0.49654089427296844,0.015251366060267817,-0.0020615677461344,-0.0008621338315494333,0.20692647509622109,TranAD
NEK,0.4180551094165658,0.34893343626830126,0.38039556710473077,0.32233057345059235,0.06912167314826453,0.03765954231183501,0.02660286281770885,0.7037141460250973,TranAD
OPPORTUNITY,0.34958301859767227,0.47357238256387457,0.312884206580691,0.4392153956027396,-0.12398936396620222,0.03669881201698125,0.03435698696113488,0.6566290558301939,TranAD
Power,0.4286798769583611,0.5020106680322937,0.4194256642940635,0.4862553897769138,-0.0733307910739325,0.0092542126642975,0.0157552782553798,0.1189338795651763,TranAD
SED,0.25885176897902645,0.33325228185899936,0.2914331291807769,0.3601455396264242,-0.0744005128799729,-0.03258136020175045,-0.0268932577674248,0.0501413362578427,TranAD
SMAP,0.21089900810982376,0.18744917856369883,0.20692831327513259,0.18554597012917912,0.02344982954612493,0.003970694834691147,0.0019032084345196765,0.2305017845699613,TranAD
SMD,0.18012864641461732,0.15902704174505083,0.17653426875513886,0.15041396127271342,0.021101604669566423,0.0035943776594784056,0.008613080472337333,0.2996024289527524,TranAD
